Ticker,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,M&M.NS,ONGC.NS,RELIANCE.NS,TCS.NS,TMPV.NS
HDFCBANK.NS,1.0,0.21733950969201224,0.5016699232557764,0.24919991036120873,0.22876601599933216,0.35725679564052637,0.11219835594313779,0.36886207788642045,0.2334254580036806,0.2718204746686766
HINDUNILVR.NS,0.21733950969201224,1.0,0.19973632064984018,0.19166645922226694,0.3245419264092642,0.2298337549525754,-0.035696116343141626,0.1990630532098983,0.2043193577005495,0.1508535608669114
ICICIBANK.NS,0.5016699232557764,0.19973632064984018,1.0,0.2305745465166417,0.2633955135423396,0.36187188800796527,0.15547355454102812,0.3468414764593369,0.2136778608047013,0.26864840941588997
INFY.NS,0.24919991036120873,0.19166645922226694,0.2305745465166417,1.0,0.18060121879164293,0.238771732237742,0.12468037493393146,0.2588671630032678,0.7349865490624182,0.19827937577572258
ITC.NS,0.22876601599933216,0.3245419264092642,0.2633955135423396,0.18060121879164293,1.0,0.24556099344695348,0.155530141631437,0.30937888984267187,0.1765160613016389,0.2513805829962209
M&M.NS,0.35725679564052637,0.2298337549525754,0.36187188800796527,0.238771732237742,0.24556099344695348,1.0,0.15843904355155602,0.36103425440238074,0.21639600814133383,0.4283024161504492
ONGC.NS,0.11219835594313779,-0.035696116343141626,0.15547355454102812,0.12468037493393146,0.155530141631437,0.15843904355155602,1.0,0.3558940701632199,0.12748849108352522,0.21162030363457093
RELIANCE.NS,0.36886207788642045,0.1990630532098983,0.3468414764593369,0.2588671630032678,0.30937888984267187,0.36103425440238074,0.3558940701632199,1.0,0.2682348460967374,0.3397488210709987
TCS.NS,0.2334254580036806,0.2043193577005495,0.2136778608047013,0.7349865490624182,0.1765160613016389,0.21639600814133383,0.12748849108352522,0.2682348460967374,1.0,0.22493362301555972
TMPV.NS,0.2718204746686766,0.1508535608669114,0.26864840941588997,0.19827937577572258,0.2513805829962209,0.4283024161504492,0.21162030363457093,0.3397488210709987,0.22493362301555972,1.0
